Model,Brand,Image URL,Status,Release Date,Price,SIM,Technology,OS,Dimensions,Weight,Color,Body Material,Screen Size,Type,Display Type,Resolution,PPI,Multi-touch,Protection,5G Networks,4G Networks,3G Networks,2G Networks,Network Speed,RAM,Storage,Card Slot,Rear Camera,Front Camera,Flash,Camera Features,Video Recording,Chipset,CPU,GPU,Battery,Battery Capacity,Fast Charging,Removable Battery,Wi-Fi,Bluetooth,GPS,NFC,USB,Audio Jack,Radio,Sensors,URL,
Galaxy A06 5G,Samsung,https://www.mobile57.com/assets/images/product_images/webp/Samsung-Galaxy-A06-5G_1.webp,Available,"Released 2025, February",MYR  497,Nano-SIM + Nano-SIM,GSM / HSPA / LTE,"Android 15, up to 4 major Android upgrades, One UI 7",167.3 x 77.3 x 8 mm (6.59 x 3.04 x 0.31 in),191 g (6.74 oz),"Black, Gray, Light Green","Glass front, plastic back, plastic frame",6.7 inches,"PLS LCD, 90Hz","PLS LCD, 90Hz","720 x 1600 pixels, 209 ratio",262 ppi density,Yes,Front Glass,"1, 3, 5, 7, 8, 26, 28, 40, 41, 66, 77, 78 SA/NSA/Sub6","1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 26, 28, 38, 40, 41, 66",HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,GSM 850 / 900 / 1800 / 1900,"HSPA, LTE",4GB / 6GB,64GB / 128GB,microSDXC,"50 MP, f/1.8, (wide), PDAF2 MP, f/2.4, (depth)","8 MP, f/2.0, (wide), 1/4.0 inch, 1.12 micro metre",LED flash,Yes,1080p30/60fps,Mediatek Dimensity 6300 (6 nm),Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,5000 mAh,5000 mAh,25W wired,Non-Removable,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.3, A2DP, LE","Yes, with A-GPS, GLONASS, GALILEO, BDS",No,USB Type-C 2.0,Yes,Unspecified,"Fingerprint (side-mounted), accelerometer, proximity, compass",https://www.mobile57.com/my/phones/samsung-galaxy-a06-5g-14967,
Galaxy S25 Slim,Samsung,https://www.mobile57.com/assets/images/product_images/webp/Samsung-Galaxy-S25-Edge_1.webp,Available,"Released 2025, May","MYR  4,550",Nano-SIM + Nano-SIM + eSIM + eSIM (max 2 at a time)Nano-SIM + eSIM + eSIM (max 2 at a time),GSM / CDMA / HSPA / EVDO / LTE / 5G,"Android 15, One UI 7",158.2 x 75.6 x 5.8 mm (6.23 x 2.98 x 0.23 in),163 g (5.75 oz),"Titanium Icyblue, Titanium Silver, Titanium Jetblack","Glass front (Gorilla Glass Ceramic 2), titanium frame, glass back (Gorilla Glass Victus 2)",6.7 inches,"LTPO AMOLED 2X, 120Hz, HDR10+","LTPO AMOLED 2X, 120Hz, HDR10+","1440 x 3120 pixels, 19.59 ratio",513 ppi density,Yes,Corning Gorilla Glass Ceramic 2,"1, 2, 3, 5, 7, 8, 12, 20, 25, 26, 28, 38, 40, 41, 66, 75, 77, 78 SA/NSA/Sub6 - International1, 2, 5, 7, 25, 28, 41, 66, 71, 77, 78, 257, 258, 260, 261 SA/NSA/Sub6/mmWave - USA","1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 32, 38, 39, 40, 41, 66 - International1, 2, 3, 4, 5, 7, 8, 12, 13, 14, 18, 19, 20, 25, 26, 28, 29, 30, 38, 39, 40, 41, 48, 66, 71 - USA",HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,GSM 850 / 900 / 1800 / 1900,"HSPA, LTE (up to 7CA), 5G",12GB,256GB / 512GB,No,"200 MP, f/1.7, (wide), 1/1.56 inch, PDAF, OIS12 MP, f/2.2, (ultrawide), PDAF","12 MP, f/2.2, (wide)",LED flash,"Laser AF, LED flash, auto-HDR, panorama","8K30fps, 4K30/60/120fps, 1080p30/60/120/240fps",Qualcomm SM8750-3-AB Snapdragon 8 Elite (3 nm),7-core (2x4.47 GHz Oryon V2 Phoenix L + 5x3.53 GHz Oryon V2 Phoenix M),Adreno 830,3900 mAh,3900 mAh,"25W wired, PD, QC2.0, 55% in 30 min",Non-Removable,"Wi-Fi 802.11 a/b/g/n/ac/6/7, tri-band, Wi-Fi Direct","5.4, A2DP, LE","GPS, GLONASS, GALILEO, BDS",Yes,USB Type-C 3.2,,No,"Fingerprint (under display, ultrasonic), accelerometer, proximity, gyro, compass, barometerSamsung DeXUltra Wideband (UWB) support",https://www.mobile57.com/my/phones/samsung-galaxy-s25-slim-14867,
Galaxy Z Fold Special,Samsung,https://www.mobile57.com/assets/images/product_images/webp/Samsung-Galaxy-Z-Fold-Special.webp,Announced,"Released 2024, October 24","MYR  8,280","Nano-SIM, eSIM or Dual eSIM",GSM / HSPA / LTE / 5G,"Android 14, up to 7 major Android upgrades, One UI 6.1.1",Unfolded 157.9 x 142.6 x 5.6 mmFolded 157.9 x 72.8 x 10.6 mm,236 g (8.32 oz),Black,"Glass front (Gorilla Glass Victus 2) (folded), plastic front (unfolded), glass back (Gorilla Glass Victus 2), aluminum frame",8.0 inches,"Foldable Dynamic LTPO AMOLED 2X, 120Hz, HDR10+, 2600 nits (peak)","Foldable Dynamic LTPO AMOLED 2X, 120Hz, HDR10+, 2600 nits (peak)",1968 x 2184 pixels,(367 ppi density),Yes,Gorilla Glass Victus 2,"1, 2, 3, 5, 7, 8, 12, 20, 25, 26, 28, 38, 40, 41, 66, 77, 78 SA/NSA/Sub6","1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 38, 39, 40, 41, 66",HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),"HSPA, LTE (CA), 5G",16GB,512GBUFS 4.0,No,"200 MP, f/1.8, (wide), PDAF, OIS10 MP, f/2.4, 66mm (telephoto), 1.0µm, PDAF, OIS, 3x optical zoom12 MP, f/2.2, 123 degree, 12mm (ultrawide), 1.12 micro metre, AF","4 MP, f/1.8, 26mm (wide), 2.0 micro metre, under displayCover camera10 MP, f/2.2, 24mm (wide), 1/3 inch, 1.22 micro metre",LED flash,"HDR, panorama","8K30fps, 4K60fps, 1080p60/120/240fps (gyro-EIS), 720p960fps (gyro-EIS), HDR10+",Qualcomm SM8650-AC Snapdragon 8 Gen 3 (4 nm),8-core (1x3.39GHz Cortex-X4 & 3x3.1GHz Cortex-A720 & 2x2.9GHz Cortex-A720 & 2x2.2GHz Cortex-A520),Adreno 750 (1 GHz),4400 mAh,4400 mAh,"25W wired, QC2.0, 50% in 30 min (advertised)15W wireless4.5W reverse wireless",Non-Removable,"Wi-Fi 802.11 a/b/g/n/ac/6e/7, tri-band, Wi-Fi Direct","5.3, A2DP, LE","GPS, GALILEO, GLONASS, BDS, QZSS",Yes,"USB Type-C 3.2, OTG",No32-bit/384kHz audioTuned by AKG,No,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass, barometerSamsung DeX (desktop experience support)Ultra Wideband (UWB) supportCircle to Search",https://www.mobile57.com/my/phones/samsung-galaxy-z-fold-special-edition-14839,
Galaxy A17 5G,Samsung,https://www.mobile57.com/assets/images/product_images/webp/Samsung-Galaxy-A17.webp,Comming Soon,"Exp. Release 2025, Q3","MYR  1,035","Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)",GSM / HSPA / LTE / 5G,"Android 15, up to 6 major Android upgrades, One UI 7",164.4 x 77.9 x 7.5 mm (6.47 x 3.07 x 0.30 in),192 g (6.77 oz),"Black, Gray, Blue","Glass front, plastic back, plastic frame",6.7 inches,"Super AMOLED, 90Hz, 800 nits (HBM)","Super AMOLED, 90Hz, 800 nits (HBM)","1080 x 2340 pixels, 19.59 ratio",385 ppi density,Yes,Corning Gorilla Glass Victus,SA/NSA/Sub6 - InternationalSA/NSA/Sub6/mmWave - USA unlocked,LTE,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,GSM 850 / 900 / 1800 / 1900,"HSPA, LTE, 5G",4GB / 6GB / 8GB,128GB / 256GB,microSDXC (uses shared SIM slot),"50 MP, f/1.8, (wide), 1/2.76 inch, 0.64 micro metre, AF, OIS5 MP, f/2.2, (ultrawide), 1/5.0 inch, 1.12 micro metre2 MP, f/2.4, (macro)","13 MP, f/2.0, (wide), 1/3.1 inch, 1.12 micro metre",LED flash,"panorama, HDR","1080p30fps, gyro-EIS",Exynos 1330 (5 nm),Octa-core (2x2.4 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55),Mali-G68 MP2,5000 mAh,5000 mAh,25W wired,Non-Removable,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.3, A2DP, LE","GPS, GALILEO, GLONASS, BDS, QZSS",Yes (market/region dependent),USB Type-C 2.0,Yes,No,"Fingerprint (side-mounted), accelerometer, gyro, compassVirtual proximity sensing",https://www.mobile57.com/my/phones/samsung-galaxy-a17-5g-14826,
Galaxy A17,Samsung,https://www.mobile57.com/assets/images/product_images/webp/Samsung-Galaxy-A17-4G.webp,Available,"Release 2025, September 18",MYR  911,"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)",GSM / HSPA / LTE,"Android 15, up to 6 major Android upgrades, One UI 7",164.4 x 77.9 x 7.5 mm (6.47 x 3.07 x 0.30 in),190 g (6.70 oz),"Black, Gray, Blue","Glass front, plastic back, plastic frame",6.7 inches,"Super AMOLED, 90Hz","Super AMOLED, 90Hz","1080 x 2340 pixels, 19.59 ratio",385 ppi density,Yes,"Corning Gorilla Glass Victus, Mohs level 5",,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41",HSDPA 850 / 900 / 2100,GSM 850 / 900 / 1800 / 1900,"HSPA, LTE",4GB / 8GB,128GB / 256GB,microSDXC (uses shared SIM slot),"50 MP, f/1.8, (wide), 1/2.76 inch, 0.64 micro meter, AF, OIS5 MP, f/2.2, (ultrawide), 1/5.0 inch, 1.12 mico meter2 MP, f/2.4, (macro)","13 MP, f/2.0, (wide), 1/3.1 inch, 1.12 micro meter",LED flash,"panorama, HDR","1080p30fps, gyro-EIS",Mediatek Helio G99 (6 nm),Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,5000 mAh,5000 mAh,25W wired,Non-Removable,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.3, A2DP, LE","GPS, GALILEO, GLONASS, BDS, QZSS",Yes (market/region dependent),USB Type-C 2.0,Yes,No,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass Virtual proximity sensing",https://www.mobile57.com/my/phones/samsung-galaxy-a17-4g-14825,
Galaxy M55s,Samsung,https://www.mobile57.com/assets/images/product_images/webp/Samsung-Galaxy-M55s_1.webp,Available,"Released 2024, September 26","MYR  1,445","Hybrid Dual SIM (Nano-SIM, dual stand-by)",GSM / HSPA / LTE / 5G,"Android 14, One UI 6.1",163.9 x 76.5 x 7.8 mm (6.45 x 3.01 x 0.31 in),180 g (6.35 oz),"Thunder Black, Coral Green","Glass front, plastic back, plastic frame","6.7 inches, 108.4 cm2","Super AMOLED+, 120Hz, 1000 nits (HBM)Always-on display","Super AMOLED+, 120Hz, 1000 nits (HBM)Always-on display","1080 x 2400 pixels, 209 ratio",393 ppi density,Yes,Yes,SA/NSA/Sub6,LTE,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"HSPA, LTE, 5G",8GB,128GB / 256GB,microSDXC (uses shared SIM slot),"50 MP, f/1.8, (wide), 1/1.56, 1.0µm, PDAF, OIS8 MP, f/2.2, 123Ëš (ultrawide)2 MP, f/2.4, (macro)","50 MP, f/2.4, (wide)",LED,"HDR, panorama","4K30fps, 1080p30/60fps, gyro-EIS, OIS",Qualcomm SM7450-AB Snapdragon 7 Gen 1 (4 nm),Octa-core (1x2.4 GHz Cortex-A710 & 3x2.36 GHz Cortex-A710 & 4x1.8 GHz Cortex-A510),Adreno 644,5000 mAh,5000 mAh,Fast charging 45W,Non-Removable,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct","5.2, A2DP, LE","Yes, GPS, GALILEO, GLONASS, BDS, QZSS",Yes,"USB Type-C 2.0, OTG","NoYes, with stereo speakers",Yes,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",https://www.mobile57.com/my/phones/samsung-galaxy-m55s-14723,
Galaxy A16 5G,Samsung,https://www.mobile57.com/assets/images/product_images/webp/Samsung-Galaxy-A16-5G_1.webp,Available,"Release 2024, October",MYR  932,"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)",GSM / HSPA / LTE / 5G,"Android 14, up to 6 major Android upgrades, One UI 6.1",164.4 x 77.9 x 7.9 mm (6.47 x 3.07 x 0.31 in),200 g (7.05 oz),"Blue Black, Light Gray, Gold, Light Green","Glass front, plastic back, plastic frame","6.7 inches, 110.2 cm2 (86.0% screen-to-body ratio)","Super AMOLED, 90Hz, 800 nits (HBM)","Super AMOLED, 90Hz, 800 nits (HBM)","1080 x 2340 pixels, 19.59 ratio",(385 ppi density),Yes,Gorilla Glass,"1, 3, 7, 8, 20, 28, 38, 40, 41, 77, 78 SA/NSA/Sub6","1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 28, 38, 40, 41, 66",HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual sim model only),"HSPA, LTE, 5G",4GB,128GB,microSDXC (uses shared SIM slot),"50 MP, f/1.8, (wide), AF5 MP, f/2.2, (ultrawide)2 MP, f/2.4, (macro)","13 MP, f/2.0, (wide)",LED flash,"panorama, HDR","1080p30fps, gyro-EIS",Mediatek Dimensity 6300 (6 nm) orExynos 1330 (5 nm),Octa-core (2x2.4 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55),Mali-G68 MP2 or Mali-G57 MC2,5000 mAh,5000 mAh,25W wired,Non-Removable,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.3, A2DP, LE","GPS, GALILEO, GLONASS, BDS, QZSS",Yes (market/region dependent),USB Type-C 2.0,Yes,No,"Fingerprint (side-mounted), accelerometer, gyro, compassVirtual proximity sensing",https://www.mobile57.com/my/phones/samsung-galaxy-a16-5g-14705,
Galaxy A16,Samsung,https://www.mobile57.com/assets/images/product_images/webp/Samsung-Galaxy-A16_1.webp,Available,"Release 2024, October","MYR  1,027","Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)",GSM / HSPA / LTE,"Android 14, One UI 6.1",164.4 x 77.9 x 7.9 mm (6.47 x 3.07 x 0.31 in),200 g (7.05 oz),"Gray, water green, midnight blue","Glass front, plastic back, plastic frame","6.7 inches, 110.2 cm2","Super AMOLED, 90Hz, 800 nits (HBM)","Super AMOLED, 90Hz, 800 nits (HBM)","1080 x 2340 pixels, 19.59 ratio",(385 ppi density),Yes,Gorilla Glass,,LTE,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual sim model only),"HSPA, LTE",4GB / 6GB,128GB / 256GB,microSDXC (uses shared SIM slot),"50 MP, f/1.8, (wide), AF5 MP, f/2.2, (ultrawide)2 MP, f/2.4, (macro)","13 MP, f/2.0, (wide)1080p30fps",LED flash,"panorama, HDR","1080p30fps, gyro-EIS",Mediatek Helio G99 (6 nm),Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,5000 mAh,5000 mAh,25W wired,Non-Removable,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.3, A2DP, LE","GPS, GALILEO, GLONASS, BDS, QZSS",Yes (market/region dependent),USB Type-C 2.0,Yes,FM radio (market/region dependent),"Fingerprint (side-mounted), accelerometer, compassVirtual proximity sensing",https://www.mobile57.com/my/phones/samsung-galaxy-a16-14704,
Galaxy F15 5G,Samsung,https://www.mobile57.com/assets/images/product_images/webp/galaxy-f15-5g-8GB-RAM.webp,Available,"Release 2024, March 11",MYR  782,"Hybrid Dual SIM (Nano-SIM, dual stand-by)",GSM / HSPA / LTE / 5G,"Android 14, One UI 6",160.1 x 76.8 x 9.3 mm (6.30 x 3.02 x 0.37 in),217 g,"Ash Black, Groovy Violet, and Jazzy Green","Glass front, plastic back, plastic frame","6.6 inches, 103.7 cm2 (84.2% screen-to-body ratio)","Super AMOLED, 90Hz, 800 nits (HBM)","Super AMOLED, 90Hz, 800 nits (HBM)","1080 x 2340 pixels, 19.59 ratio",(390 ppi density),Yes,Gorilla Glass,SA/NSA,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 20, 26, 28, 38, 40, 41, 66",HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM only),"HSPA, LTE, 5G",4GB / 6GB / 8GB,128GB,microSDXC,"50 MP, f/1.8, (wide), AF5 MP, f/2.2, (ultrawide)2 MP, f/2.4, (macro)","13 MP, f/2.2, (wide)",LED flash,"panorama, HDR","1080p30fps, gyro-EIS",Mediatek Dimensity 6100 +,Octa-core (2x2.4 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,6000 mAh,6000 mAh,25W wired,Non-Removable,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.2, A2DP, LE","GPS, GLONASS, GALILEO, BDS, QZSS",Yes (market/region dependent),USB Type-C 2.0,Yes,Unspecified,"Fingerprint (side-mounted), accelerometer, gyro, compassVirtual proximity sensing",https://www.mobile57.com/my/phones/samsung-galaxy-f15-8gb-14534,
Galaxy M56,Samsung,https://www.mobile57.com/assets/images/product_images/webp/Samsung-Galaxy-M56.webp,Available,"Released 2025, April 17","MYR  1,201","Hybrid Dual SIM (Nano-SIM, dual stand-by)",GSM / HSPA / LTE / 5G,"Android 15, up to 6 major Android upgrades, One UI 7",162 x 77.3 x 7.2 mm (6.38 x 3.04 x 0.28 in),180 g (6.35 oz),"Black, Light Green","Glass front (Gorilla Glass Victus+), plastic frame, glass back (Gorilla Glass Victus+)",6.74 inches,"Super AMOLED Plus, 120HzAlways-on display","Super AMOLED Plus, 120HzAlways-on display","1080 x 2340 pixels, 19.59 ratio",382 ppi density,Yes,Corning Gorilla Glass Victus Plus,"1, 3, 5, 8, 28, 40, 41, 78 SA/NSA/Sub6","1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 26, 28, 38, 40, 41, 66",HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,GSM 850 / 900 / 1800 / 1900,"HSPA, LTE, 5G",8GB,128GB / 256GBUFS 3.1,Unspecified,"50 MP, f/1.8, (wide), PDAF, OIS8 MP, f/2.2, (ultrawide)2 MP, f/2.4, (macro)","12 MP, f/2.2, (wide)",LED,"HDR, panorama","4K30fps, 1080p30/60fps, gyro-EIS, OIS, 10 bit HDR",Exynos 1480 (4 nm),Octa-core (4x2.75 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),Xclipse 530,5000 mAh,5000 mAh,Fast charging 45W wired,Non-Removable,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct","5.3, A2DP, LE","Yes, GPS, GALILEO, GLONASS, BDS, QZSS",No,"USB Type-C 2.1, OTG","NoYes, with stereo speakers",No,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",https://www.mobile57.com/my/phones/samsung-galaxy-m56-14456,
Galaxy A56,Samsung,https://www.mobile57.com/assets/images/product_images/webp/Samsung-Galaxy-A56_2.webp,Available,"Released 2025, March 10","MYR  1,615",Nano-SIM + Nano-SIM + eSIM (max 2 at a time),GSM / HSPA / LTE / 5G,"Android 15, up to 6 major Android upgrades, One UI 7",162.2 x 77.5 x 7.4 mm (6.39 x 3.05 x 0.29 in),198 g (6.98 oz),"Pink, Olive, Graphite, Lightgray","Glass front (Gorilla Glass Victus+), glass back (Gorilla Glass Victus+), aluminum frame",6.7 inches,"Super AMOLED, 120Hz, HDR10+, 1200 nits (HBM), 1900 nits (peak)","Super AMOLED, 120Hz, HDR10+, 1200 nits (HBM), 1900 nits (peak)","1080 x 2340 pixels, 19.59 ratio",385 ppi density,Yes,Corning Gorilla Glass Victus PlusAlways-on display,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41, 66, 77, 78 SA/NSA/Sub6","1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 25, 26, 28, 32, 38, 40, 41, 66",HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,GSM 850 / 900 / 1800 / 1900,"HSPA, LTE-A, 5G",6GB / 8GB / 12GB,128GB / 256GBUFS 3.1,No,"50 MP, f/1.8, (wide), 1/1.56 inch, 1.0 micro metre, PDAF, OIS12 MP, f/2.2, 123 degree (ultrawide), 1/3.06 inch, 1.12 micro metre5 MP, f/2.4, (macro)","12 MP, f/2.2, (wide)",LED flash,"panorama, HDR","4K30fps, 1080p30/60fps, gyro-EIS",Exynos 1580 (4 nm),Octa-core (1x2.9 GHz Cortex-A720 & 3x2.6 GHz Cortex-A720 & 4x1.9 GHz Cortex-A520),Xclipse 540,5000 mAh,5000 mAh,"45W wired, 65% in 30 min, 100% in 68 min",Non-Removable,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct","5.3, A2DP, LE","GPS, GALILEO, GLONASS, BDS, QZSS",Yes (market/region dependent),"USB Type-C 2.0, OTG",No,No,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compassVirtual Proximity SensingCircle to Search",https://www.mobile57.com/my/phones/samsung-galaxy-a56-14435,
Galaxy A36,Samsung,https://www.mobile57.com/assets/images/product_images/webp/Samsung-Galaxy-A36_2.webp,Available,"Released 2025, Q2","MYR  1,652",Nano-SIM + Nano-SIM + eSIM + eSIM (max 2 at a time),GSM / HSPA / LTE / 5G,"Android 15, up to 6 major Android upgrades, One UI 7",162.9 x 78.2 x 7.4 mm (6.41 x 3.08 x 0.29 in),195 g (6.88 oz),"Lavender, Black, White, Lime","Glass front (Gorilla Glass Victus+), plastic frame, glass back (Gorilla Glass Victus+)",6.7 inches,"Super AMOLED, 120Hz, 1200 nits (HBM), 1900 nits (peak)","Super AMOLED, 120Hz, 1200 nits (HBM), 1900 nits (peak)","1080 x 2340 pixels, 19.59 ratio",385 ppi density,Yes,Corning Gorilla Glass Victus PlusAlways-on display,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41, 66, 77, 78 SA/NSA/Sub6","1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 25, 26, 28, 32, 38, 40, 41, 66",HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,GSM 850 / 900 / 1800 / 1900,"HSPA, LTE, 5G",6GB / 8GB / 12GB,128GB / 256GBUFS 2.2,No,"50 MP, f/1.8, (wide), 1/1.96 inch, PDAF, OIS8 MP, f/2.2, 123 degree, (ultrawide), 1/4.0 inch, 1.12 micro metre5 MP, f/2.4, (macro)","12 MP, f/2.2, (wide)",LED,"HDR, panorama","4K30fps, 1080p30/60fps, gyro-EIS",Qualcomm SM6475-AB Snapdragon 6 Gen 3 (4 nm),Octa-core (4x2.4 GHz Cortex-A78 & 4x1.8 GHz Cortex-A55),Adreno 710,5000 mAh,5000 mAh,"Fast charging 45W wired, 66% in 30 min, 100% in 68 min",Non-Removable,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct","5.4, A2DP, LE","Yes, with A-GPS, GALILEO, GLONASS, BDS, QZSS",Yes,"USB Type-C 2.0, OTG",Yes,,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compassCircle to SearchVirtual Proximity Sensing",https://www.mobile57.com/my/phones/samsung-galaxy-a36-14350,
Galaxy F16,Samsung,https://www.mobile57.com/assets/images/product_images/webp/Samsung-Galaxy-F16.webp,Available,"Release 2025, March",MYR  538,"Dual SIM (Nano-SIM, dual stand-by)",GSM / HSPA / LTE / 5G,"Android 15, up to 6 major Android upgrades, One UI 7",164.4 x 77.9 x 7.9 mm (6.47 x 3.07 x 0.31 in),191 g (6.74 oz),"Bling Black, Vibing Blue, Glam Green","Glass front, plastic back, plastic frame",6.7 inches,"Super AMOLED, 90Hz, 800 nits (HBM)","Super AMOLED, 90Hz, 800 nits (HBM)","1080 x 2340 pixels, 19.59 ratio",385 ppi density,Yes,,"1, 3, 5, 7, 8, 28, 40, 41, 66, 77, 78 SA/NSA/Sub6","1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 26, 28, 38, 40, 41, 66",HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,GSM 850 / 900 / 1800 / 1900,"HSPA, LTE, 5G",4GB / 6GB / 8GB,128GB,microSDXC (uses shared SIM slot),"50 MP, f/1.8, (wide), 1/2.76 inch, 0.64 micro metre, AF5 MP, f/2.2, (ultrawide), 1/5.0 inch, 1.12 micro mere2 MP, f/2.4, (macro)","13 MP, f/2.0, (wide), 1/3.1 inch, 1.12 micro metre",LED,"HDR, panorama","1080p30fps, gyro-EIS",Mediatek Dimensity 6300 (6 nm),Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,5000 mAh,5000 mAh,Fast charging 25W,Non-Removable,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.3, A2DP, LE","Yes, with A-GPS, GALILEO, GLONASS, BDS, QZSS",,USB Type-C 2.0,3.5mm Jack,Yes,"Fingerprint (side-mounted), accelerometer, proximity",https://www.mobile57.com/my/phones/samsung-galaxy-f16-14349,
Galaxy M14 4G,Samsung,https://www.mobile57.com/assets/images/product_images/webp/Samsung-Galaxy-M14-4G.webp,Available,"Release 2024, March 06",MYR  451,"Dual SIM (Nano-SIM, dual stand-by)",GSM / HSPA / LTE,Android 13,166.8 x 77.2 x 9.4mm,206 g,Arctic Blue and Sapphire Blue,"Glass front, plastic back, plastic frame",6.7 inches,PLS LCD,PLS LCD,"1080 x 2408 pixels, 90Hz",(270ppi density),Yes,,,"LTE 1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 26, 28, 38, 40, 41, 66",HSDPA 850 / 900 / 1900 / 2100,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"HSPA 42.2/5.76 Mbps, LTE-A",4GB /6GB,64GB / 128GB,microSDXC (dedicated slot),50MP wide + 2MP Macro + 2MP depth,13MP,LED,"HDR, panorama",1080p30fps,Qualcomm Snapdragon 480,Octa-core (2x2.0 GHz Cortex-A77 & 6x1.8 GHz Cortex-A55),Adreno 610,5000 mAh,5000 mAh,Fast charging 25W,Non-Removable,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","5.2, A2DP","Yes, with A-GPS, GLONASS, GALILEO, BDS",Yes,USB Type-C 2.1,3.5mm Jack,,"Fingerprint (side-mounted), accelerometer, proximity",https://www.mobile57.com/my/phones/samsung-galaxy-m14-4g-14307,
